"id","game_title","year"
"782","Need for Speed: Hot Pursuit 2","2002"
"783","Mario Sports Mix","2010"
"785","Dynasty Warriors 4","2003"
"787","Parasite Eve","1998"
"788","Scooby-Doo! Night of 100 Frights","2002"
"789","Project Gotham Racing (JP weekly sales)","2002"
"790","Need for Speed: Most Wanted 5-1-0","2005"
"791","Portal 2","2011"
"792","Devil May Cry 3: Dante's Awakening","2005"
"793","Derby Stallion","1997"
"794","Dead Rising","2006"
"796","NBA 2K11","2010"
"797","Wipeout: The Game","2009"
"798","The Sims 2: Pets","2006"
"799","Battlefield: Hardline","2015"
"800","Metal Gear Solid: Peace Walker","2010"
"801","World of Warcraft: Cataclysm","2010"
"802","Tetris Worlds","2002"
"803","Need For Speed: Undercover","2008"
"804","Dance Dance Revolution: Hottest Party","2007"
"805","Mario Party 5","2003"
"806","Ghostbusters: The Video Game (DS Version)","2010"
"807","Sim Theme Park","1998"
"808","Warcraft: Orcs & Humans","1994"
"810","Spec Ops: Airborne Commando","2002"
"811","Kingdom Hearts: Birth by Sleep","2010"
"812","UFC 2009 Undisputed","2009"
"813","Dark Souls","2011"
"814","Yu-Gi-Oh! The Eternal Duelist Soul","2001"
"817","Tom Clancy's Splinter Cell: Conviction","2010"
"818","Pokemon Mystery Dungeon: Red/Blue Rescue Team","2005"
"820","R4: Ridge Racer Type 4","1998"
"821","SoulCalibur II","2003"
"822","Mario & Luigi: Dream Team","2013"
"824","Carnival Games","2008"
"826","Pok�mon Mystery Dungeon: Blue Rescue Team","2005"
"827","Sonic Mega Collection","2002"
"828","Diablo III","2013"
"829","NBA Jam","1992"
"830","PGR4 - Project Gotham Racing 4","2007"
"831","Kingdom Hearts 358/2 Days","2009"
"832","Dance Central 2","2011"
"833","Rayman Raving Rabbids: TV Party","2008"
